Stratford High Street	51.5385246277	-0.0014269
Stratford International	51.5447731018	-0.0080466
Sudbury Hill	51.5568466187	-0.3363490
Sudbury Town	51.5508575439	-0.3158033
Surrey Quays	51.4932174683	-0.0474858
Swiss Cottage	51.5435180664	-0.1749444
Sydenham	51.4269752502	-0.0545561
Temple	51.5108432770	-0.1137042
Theydon Bois	51.6715583801	0.1020312
Tooting Bec	51.4355888367	-0.1595378
Tooting Broadway	51.4277763367	-0.1681960
Tottenham Court Rd	51.5162048340	-0.1307094
Tottenham Hale	51.5884284973	-0.0600171
Totteridge & Whet	51.6304550171	-0.1791286
Tower Gateway	51.5105705261	-0.0736213
Tower Hill	51.5102577209	-0.0764805
Tufnell Park	51.5567665100	-0.1379085
Turnham Green	51.4952272205	-0.2544358
Turnpike Lane	51.5903567108	-0.1028050
Upminister	51.5590362549	0.2506685
Upminster Bridge	51.5584640503	0.2352405
Upney	51.5383911133	0.1011086
Upper Holloway	51.5636405945	-0.1294541
Upton Park	51.5354442596	0.0351906
Uxbridge	51.5461893823	-0.4787755
Vauxhall	51.4861373901	-0.1236498
Victoria	51.4956156413	-0.1440132
Walthamstow Cntrl	51.5831375122	-0.0199664
Walthamstow Queen's Road	51.5814819336	-0.0236678
Wanstead	51.5753326416	0.0287533
Wanstead Park	51.5519104004	0.0254488
Wapping	51.5044403076	-0.0560153
Warren Street	51.5246215976	-0.1383016
Warwick Avenue	51.5233230591	-0.1840746
Waterloo	51.5024398804	-0.1136334
Watford	51.6574681550	-0.4172602
Watford High Street	51.6522560120	-0.3923750
Watford Junction	51.6631431580	-0.3954434
Wembley Central	51.5527400970	-0.2971297
Wembley Park	51.5633319192	-0.2792011
West Acton	51.5182151794	-0.2806449
West Brompton	51.4873363108	-0.1955941
West Croydon	51.3781394958	-0.1025677
West Finchley	51.6094741821	-0.1883554
West Ham	51.5280246735	0.0042969
West Hampstead	51.5472698212	-0.1911396
West Harrow	51.5796279907	-0.3530002
West India Quay	51.5069885254	-0.0204170
West Kensington	51.4906005859	-0.2062404
West Ruislip	51.5698013306	-0.4376507
West Silvertown	51.5028648376	0.0230455
Westbourne Park	51.5209872490	-0.2008825
Westferry	51.5094490051	-0.0266826
Westminster	51.5012041728	-0.1252914
White City	51.5125465393	-0.2247477
Whitechapel	51.5196062724	-0.0603247
